id	genre
01Yfj2T3YTwJ1Yfy	['rock', 'christian rock']
01gyRHLquwXDlhkO	['hip hop', 'rap', 'grindcore', 'death metal']
01rMxQv6vhyE1oQX	['rock', 'pop punk']
02RGE9FNH65RtMS7	['trance', 'techno', 'progressive trance']
02ZnlCGZEbkfCDxo	['pop', 'italian pop', 'latin', 'europop', 'ambient', 'pop rock', 'easy listening', 'world', 'water', 'latin pop', 'pop folk']
04OjszRi9rC5BlHC	['experimental', 'folk', 'lo fi', 'freak folk', 'indie rock', 'ambient', 'indie pop', 'dream pop', 'indie folk', 'rock', 'new weird america', 'soundtrack', 'pop', 'soul', 'alternative rock', 'post rock', 'shoegaze']
04iitW3ffa0mhpx3	['pop', 'r b', 'hip hop', 'soul', 'rhythm and blues', 'singer songwriter', 'neo soul']
04xUDjAYC14jsHyH	['punk', 'emo', 'post hardcore', 'post punk', 'melodic hardcore']
06HvNTU9M9lnH71I	['jazz', 'easy listening', 'swing', 'smooth jazz', 'vocal jazz']
06L9OJ5nRqKnO2q9	['smooth soul', 'sophisti pop']
06WySIW5UDIHF2Ri	['punk', 'indie rock', 'lo fi', 'post punk', 'alternative rock']
06zhrAWwQitLxdXr	['folk', 'singer songwriter', 'indie folk', 'ambient']
079OXXqfC6koNC3B	['emo', 'post hardcore', 'punk', 'screamo', 'alternative rock', 'emocore', 'rock', 'pop rock', 'post punk', 'horror punk', 'piano rock']
07AjGMk31TkPW3O9	['hip hop', 'rap', 'funk', 'disco', 'pop', 'soul', 'rock', 'old school hip hop', 'soundtrack', 'anthem', 'jazz', 'grindcore', 'acid jazz', 'underground hip hop', 'lounge', 'jazz funk', 'thrash metal']
07bR4m5Oo4lvHJFW	['ambient', 'downtempo', 'electronica', 'experimental', 'electro', 'hypnosis', 'trip hop', 'soft rock', 'avant garde', 'ambient techno', 'techno', 'indietronica', 'ebm', 'chill out', 'power electronics']
07xF9Q0K1t3ist7K	['jazz', 'bossa nova', 'samba']
08dDspNuBDh8GOqV	['progressive rock', 'rock', 'hard rock', 'classic rock', 'progressive metal', 'album rock', 'folk', 'folk rock', 'classical guitar', 'middle earth']
08hJNPwNZPqt7zsw	['pop', 'electropop', 'rock', 'electronica', 'dance pop', 'electro', 'disco', 'electroclash', 'pop rock']
09WNjzV6VqIUG2WA	['hard rock', 'classic rock', 'rock']
09mWmQm7ixF4cCjx	['metalcore', 'post hardcore', 'hardcore', 'metal', 'screamo']
0ARggeKq773sDdau	['funk', 'afrobeat', 'soul', 'jazz', 'acid jazz', 'classic soul', 'world', 'jazz funk', 'neo soul']
0AUV4mCpGOuuWNUX	['thrash metal', 'metal', 'speed metal', 'slayer']
0At7AvzV5kHCJvIj	['rock', 'indie rock', 'pop', 'indie pop', 'dream pop']
0B2bXOAXyevoV57H	['rock', 'alternative rock', 'pop', 'pop rock', 'post grunge', 'soundtrack', 'hard rock', 'power pop', 'shoegaze', 'screamo', 'modern rock']
