id	artist	song	album_name
01Yfj2T3YTwJ1Yfy	We As Human	Take The Bullets Away (feat. Lacey Sturm)	We As Human
01gyRHLquwXDlhkO	The Notorious B.I.G.	Somebody's Gotta Die	Life After Death (Remastered Edition)
01rMxQv6vhyE1oQX	Against the Current	Chasing Ghosts	In Our Bones
02RGE9FNH65RtMS7	Barthezz	Infected	Trance - The Early Years (1997-2002)
02ZnlCGZEbkfCDxo	Laura Pausini	Tra Te E Il Mare	The Best of Laura Pausini - E Ritorno Da Te
03Oc9WeMEmyLLQbj	Shakira	Costume Makes the Clown	Oral Fixation, Vol. 2 (Expanded Edition)
04OjszRi9rC5BlHC	Grizzly Bear	Knife	Yellow House
04iitW3ffa0mhpx3	Ne-Yo	Miss Independent	Year Of The Gentleman (Bonus Track Edition)
04xUDjAYC14jsHyH	Jawbreaker	Jinx Removing	24 Hour Revenge Therapy (Remastered)
06HvNTU9M9lnH71I	Michael Bublé	That's All	Michael Bublé (US Version)
06L9OJ5nRqKnO2q9	Rhye	Please	Blood Remixed
06WySIW5UDIHF2Ri	Hüsker Dü	Games	Flip Your Wig
06zhrAWwQitLxdXr	S. Carey	Mothers	All We Grow
079OXXqfC6koNC3B	Aiden	One Love	Conviction
07AjGMk31TkPW3O9	The Sugarhill Gang	Rapper's Delight	Rhino Hi-Five: The Sugarhill Gang
07bR4m5Oo4lvHJFW	Boards of Canada	The Devil Is in the Details	Geogaddi
07xF9Q0K1t3ist7K	Jorge Ben	Ponta de lança africano (Umbabarauma)	Brazil Classics 1: Beleza Tropical
08dDspNuBDh8GOqV	Rush	Rivendell	Fly By Night
08hJNPwNZPqt7zsw	Christina Aguilera	Keeps Gettin' Better	Keeps Gettin' Better: A Decade of Hits
09WNjzV6VqIUG2WA	Blue Öyster Cult	I'm on the Lamb but I Ain't No Sheep	Blue Oyster Cult
09mWmQm7ixF4cCjx	The Word Alive	Life Cycles	Life Cycles
0ARggeKq773sDdau	Cymande	The Message	Cymande
0AUV4mCpGOuuWNUX	Megadeth	The Right To Go Insane	ENDGAME
0At7AvzV5kHCJvIj	Tegan and Sara	Someday	I'll Be Back Someday
0B2bXOAXyevoV57H	Third Eye Blind	How's It Going To Be	Third Eye Blind
0BVyGvdW4ntQDEcu	Placebo	Narcoleptic	Black Market Music
0BYvhImCgmjNk5Tp	Gil Scott-Heron	Me and the Devil	I’m New Here
0Ba0XoYTHcxaNBuc	Korn	Killing	Untitled
0BlvwUDitDAA0tVv	Corvus Corax	Sverker	Sverker
0DKe24hOOsmZ5sNf	Pixies	Monkey Gone to Heaven	Doolittle
0DMABfx807TVXBQO	Molly Nilsson	In Real Life	History
0DNKXcAGmMYmJdjP	The Fray	Love Don't Die	Helios
0DXkmUpDJT0AyerU	Matchbook Romance	Monsters	Voices
0E1zWP8MXmbXfTTX	Cigarettes After Sex	Flash	Cigarettes After Sex
0EQ0cmLC3LQjFtH2	fromis_9	Coloring	From.9
0EVEKKlvBiB0Dkge	Crown the Empire	Lead Me Out Of The Dark	The Fallout (Deluxe Reissue)
0Ec3IG2H3j1oG5hG	Dolly Style	Habibi	Habibi
0Eerh0X8W64EbrM9	Supergrass	Can't Get Up	Life On Other Planets
0EkeANTAetzZFrjm	Reuben	Moving to Blackwater	Moving to Blackwater
0EpKmvAtKRgZaLfK	Aretha Franklin	Do Right Woman - Do Right Man	I Never Loved a Man the Way I Love You
0Ev84ceMs40159oJ	Arctic Monkeys	Piledriver Waltz	Suck It and See
0F5ITSxH0rBegwve	Electric Light Orchestra	It's Over	Out of the Blue
0FfoKa4zHXdvTsgU	Mother Mother	The Stand	Eureka
0H7nBnNHtv1Ycxbn	Cliff Richard	The Young Ones	The Young Ones
0HcKM5oFjcxl83iv	Motörhead	Terminal Show	Inferno
0IHQDwO3FnNYE7VY	Mariah Carey	Against All Odds (Take a Look at Me Now)	Greatest Hits
0Imk5d70hyWT3a3Q	T. Rex	By the Light of the Magical Moon	Live In Concert
0IqeNloQ3SuH1b4V	Elliott Smith	First Timer	New Moon
0J2vIjPtMMTqcD6q	James Bay	When We Were on Fire	Chaos And The Calm
0JYaNceX5H5sSUJi	Tom Tom Club	Under The Boardwalk	Tom Tom Club
0JcsGXaF7vkn8dbc	Inc.	angel	no world
0JzBXP7jeu2eaVnN	Queen	Long Away	A Day At The Races (Deluxe Remastered Version)
0K2vsBA9smDZxKno	Bad Religion	Markovian Process	Stranger Than Fiction
0K3SrhMknjp3HCQg	Kate Bush	Love and Anger	The Sensual World
0KEwSB8tPsFGrv8I	Silverstein	Brookfield	Short Songs
0KrfpITRYCMTHZno	Rob Thomas	One Less Day (Dying Young)	Chip Tooth Smile
0KtUZOqkXcs5Q4Cn	Little Dragon	Underbart	Nabuma Rubberband
0LZdcvMJHDWZyVDS	Lucinda Williams	Fruits Of My Labor	World Without Tears
0Lgc4YsFJTKIOTZQ	Nickelback	Gotta Be Somebody	Dark Horse
0MMDu3QYnVUgnX2L	The Byrds	Wild Mountain Thyme	Fifth Dimension
0MWOdRTVAx0staZz	Avril Lavigne	My World	Let Go
0MXDGjV7Qg5AEpGu	The Vines	In the Jungle	Highly Evolved
0MhSVMMC2sqqHQIa	Peter Doherty	Last of the English Roses	Grace/Wastelands
0MsogDqbmJNTohet	Green Day	Welcome to Paradise	Dookie
0MxI54ZhUF8xzQqD	Anderson .Paak	Your Prime	Malibu
0N5HaBTkWt5stsQa	Bezerra da Silva	Defunto Caguete	É Esse Aí Que é o Homem
0NTv0wWYCzQNjE0m	Os Paralamas Do Sucesso	Tendo a Lua	Acústico (Ao Vivo / Remastered)
0NaOCGE2Lkzbils9	O Rappa	Fronteira (D.U.C.A.)	Nunca Tem Fim (Standard)
0NlLsUEZeTNagO3r	Bryan Adams	You Can't Take Me	Spirit: Stallion Of The Cimarron
0O17o38iEPkl4FWD	Katatonia	Burn the Remembrance	Viva Emptiness
0OQwtp7Nf2vcmIoZ	Jutty Ranx	I See You	I See You
0OtKIR3jeROayehf	Light The Torch	Die Alone	Revival
0OuXKk7qlgvo6egK	Mashrou' Leila	Tayf (Ghost)	Ibn El Leil
0PLdz2RKGsXnnTDO	David Bowie	Rosalyn	PinUps (2015 Remastered Version)
0PUlgI5adBJ6cFXK	Peter Gabriel	And Through The Wire	Peter Gabriel 3: Melt (Remastered Version)
0PbBzlx3pFAvg3A3	Bonnie 'Prince' Billy	Nomadic Revery (All Around)	I See A Darkness
0QKgaAsLGfhX0Sql	Hans Zimmer	Hoist the Colours	Pirates of the Caribbean: At World's End
0QSQ3CDT5x4GRIgi	Enrique Iglesias	Be With You	Enrique
0QSuci5nyuRojGbo	Horna	Kuoleva Lupaus	Envaatnags Eflos Solf Esgantaavne
0RJXFR9AZUgJM9I0	Brendan Perry	Saturday's Child	Eye of the Hunter
0RswMLgk4KS4GbIP	Post Malone	Zack and Codeine	beerbongs & bentleys
0SJ5yUTHjKiPaB3z	Marisa Monte	Não é proibido	Infinito Ao Meu Redor
0SpykgFTUzfUTJkN	The All-American Rejects	Dance Inside	Move Along
0TanEa2QCnKAedsL	Playboi Carti	dothatshit!	Playboi Carti
0Tw7xPCFY8Kkznev	Moonspell	The Last of Us	Extinct
0UHzuflmmfXZkZNQ	The Amity Affliction	Greens Avenue	Chasing Ghosts
0VaYUih1vEXMP6m7	Sonic Youth	Hey Joni	Daydream Nation (Remastered Original Album)
0Vbfs25K0D6Yuq5T	As I Lay Dying	Condemned	The Powerless Rise
0VgVeu5KvvRgOOJR	Daddy Yankee	Impacto	El Cartel: The Big Boss
0Wc7JGEjjUDM4vp2	Gregory Alan Isakov	Fire Escape	This Empty Northern Hemisphere
0We9TRA5zyjS7ush	The Pretty Reckless	Factory Girl	Light Me Up
0WjgTnhITQmzuoOc	Ashlee Simpson	Giving It All Away	Autobiography
0WnFjxBFNLqMCT1i	Yolanda Adams	The Battle Is the Lord's	The Essential Yolanda Adams
0WniuVWwli1ez0mR	4minute	Cold Rain	Crazy
0XSKxF0xHVJYLAEi	Matisyahu	Sunshine	Spark Seeker
0Xc6aEeHfUXLrnbQ	Taking Back Sunday	New Again	New Again
0Y5TcGlWJnW7IVdK	Madonna	Like a Virgin	Like a Virgin (Reissue)
0YMdOC9wMLrw2Wen	Lisa	BRiGHT FLiGHT	LiSA Best (Day)
0YsDkCvxlCks49iW	Pearl Jam	Rats	Vs.
0YtkHiVwDlsMHXy0	Christina Aguilera	Without You	Back To Basics
0ZLbSoXXsKlXYZ7a	Sarah Vaughan	Black Coffee	After Hours
0ZeUa6hsJJrS2bI4	Amesoeurs	Recueillement	Amesoeurs
0Zhw8ngsZeMvxZM3	Joji	Window	In Tongues (Deluxe)
0ZiOGxsQ2IQtw1tQ	Portishead	Half Day Closing	Portishead
0aK8gzuVHgZDf7lR	La Oreja de Van Gogh	Muñeca de trapo	Guapa
0aOT7s78rC7dlmQv	Nelly Furtado	Turn Off the Light	Whoa, Nelly!
0aTr8HKBZUuxwexW	The Weeknd	What You Need	Trilogy
0aqYFG5ZxMHWgb3J	Cascada	A Neverending Dream	Everytime We Touch
0b6sYk8GBxAjtTms	Chuck Berry	Johnny B. Goode	Berry Is On Top
0cILD6qbZYSF6Bdd	Manowar	Metal Daze	Battle Hymns
0cYTIIElIl2tFyoW	Avenged Sevenfold	Trashed and Scattered	City Of Evil (PA Version)
0dSvM0LJvljECyq0	Simple Minds	See the Lights	Acoustic
0dUzaNgp1pENO3CP	Roxette	Dangerous	Look Sharp! (2009 Version)
0eHbbAIvpxOGg1TM	Vanessa da Mata	Ai, Ai, Ai...	Ai Ai Ai (Felguk & Cat Dealers Remix)
