metric,feature,rs_object,mean_precision_at_k,mean_recall_at_k,precision_and_recall_interval,mean_ndcg_at_k,genre_coverage_at_k,mean_genre_diversity_at_k
random,random,<task1.retrieval_system.RetrievalSystem object at 0x000001AF5B14DBB0>,0.44252030909450657,0.0009764949366327606,"       recall  precision
k                       
100  0.009845   0.445004
95   0.009350   0.445063
90   0.008860   0.444976
85   0.008365   0.445046
80   0.007875   0.445097
75   0.007375   0.445138
70   0.006897   0.445259
65   0.006396   0.445241
60   0.005910   0.445094
55   0.005419   0.445111
50   0.004937   0.445259
45   0.004443   0.445045
40   0.003933   0.444814
35   0.003439   0.444977
30   0.002952   0.445119
25   0.002452   0.444882
20   0.001951   0.444170
15   0.001467   0.443597
10   0.000976   0.442520
5    0.000494   0.441649
1    0.000105   0.440757",0.1317094374312426,1.0,5.067063744621507
cosine,tf-idf,<task1.retrieval_system.RetrievalSystem object at 0x000001AF5ABD3820>,0.5107093322765984,0.0013397371155683985,"       recall  precision
k                       
100  0.012571   0.496873
95   0.011958   0.497174
90   0.011349   0.497579
85   0.010737   0.497833
80   0.010140   0.498459
75   0.009528   0.498877
70   0.008911   0.499478
65   0.008279   0.500101
60   0.007665   0.500723
55   0.007038   0.501243
50   0.006407   0.501880
45   0.005794   0.502688
40   0.005172   0.503616
35   0.004521   0.504489
30   0.003883   0.505521
25   0.003255   0.506360
20   0.002628   0.507237
15   0.001974   0.508130
10   0.001340   0.510709
5    0.000678   0.514821
1    0.000134   0.523677",0.16375401016051036,0.9820143884892086,4.974558379094312
cosine,bert,<task1.retrieval_system.RetrievalSystem object at 0x000001AF6E4D0280>,0.5571923915197154,0.0018621437788033616,"       recall  precision
k                       
100  0.015937   0.536964
95   0.015197   0.537575
90   0.014466   0.538082
85   0.013709   0.538575
80   0.012964   0.539287
75   0.012216   0.539905
70   0.011442   0.540799
65   0.010680   0.541530
60   0.009913   0.542281
55   0.009130   0.542747
50   0.008355   0.543303
45   0.007571   0.543984
40   0.006782   0.544876
35   0.005998   0.546217
30   0.005202   0.548138
25   0.004401   0.549364
20   0.003568   0.550991
15   0.002738   0.553926
10   0.001862   0.557192
5    0.000967   0.564434
1    0.000209   0.582029",0.1962647134166015,0.9568345323741008,4.845965547369942
dot,word2vec,<task1.retrieval_system.RetrievalSystem object at 0x000001AF6E4D08B0>,0.45593421834753506,0.0009325174831855759,"       recall  precision
k                       
100  0.010528   0.474571
95   0.009999   0.473865
90   0.009471   0.473166
85   0.008935   0.472340
80   0.008373   0.471655
75   0.007838   0.470750
70   0.007306   0.469633
65   0.006764   0.468309
60   0.006223   0.466690
55   0.005679   0.465005
50   0.005145   0.463032
45   0.004616   0.461123
40   0.004078   0.458587
35   0.003537   0.456096
30   0.003001   0.452992
25   0.002459   0.449653
20   0.001952   0.448237
15   0.001441   0.452071
10   0.000933   0.455934
5    0.000421   0.423400
1    0.000085   0.455815",0.12415993571515764,0.4802158273381295,4.681670219082692
cosine,mfcc_bow,<task1.retrieval_system.RetrievalSystem object at 0x000001AF6E4D0CA0>,0.5885179314444229,0.0017373843144282252,"       recall  precision
k                       
100  0.015455   0.570060
95   0.014725   0.570664
90   0.013969   0.571090
85   0.013228   0.571620
80   0.012479   0.572105
75   0.011744   0.572586
70   0.011003   0.573103
65   0.010259   0.573744
60   0.009499   0.574483
55   0.008732   0.575399
50   0.007992   0.576386
45   0.007231   0.577467
40   0.006482   0.578680
35   0.005695   0.579714
30   0.004942   0.581051
25   0.004122   0.582128
20   0.003333   0.583604
15   0.002534   0.586315
10   0.001737   0.588518
5    0.000880   0.594730
1    0.000210   0.610561",0.21604954870172174,0.9811151079136691,4.743527408164238
cosine,blf_spectral,<task1.retrieval_system.RetrievalSystem object at 0x000001AF6E4D0FD0>,0.5899346146225475,0.0018004238422990114,"       recall  precision
k                       
100  0.015473   0.567125
95   0.014754   0.567769
90   0.014037   0.568446
85   0.013297   0.568968
80   0.012564   0.569866
75   0.011817   0.570635
70   0.011070   0.571549
65   0.010322   0.572175
60   0.009567   0.573024
55   0.008826   0.574087
50   0.008047   0.574910
45   0.007295   0.576364
40   0.006531   0.577806
35   0.005748   0.578910
30   0.004960   0.580157
25   0.004183   0.581993
20   0.003393   0.583683
15   0.002612   0.586408
10   0.001800   0.589935
5    0.000908   0.594076
1    0.000206   0.608976",0.2183649412103307,0.9721223021582733,4.737670063457085
cosine,ivec256,<task1.retrieval_system.RetrievalSystem object at 0x000001AF6E4D0B80>,0.5655637012086405,0.001712295814603264,"       recall  precision
k                       
100  0.014550   0.532987
95   0.013888   0.533724
90   0.013187   0.534565
85   0.012511   0.535390
80   0.011849   0.536426
75   0.011191   0.537428
70   0.010498   0.538535
65   0.009806   0.539531
60   0.009114   0.540684
55   0.008405   0.542039
50   0.007692   0.543345
45   0.006995   0.544724
40   0.006273   0.546778
35   0.005556   0.548609
30   0.004817   0.551189
25   0.004087   0.553735
20   0.003340   0.556989
15   0.002534   0.560359
10   0.001712   0.565564
5    0.000876   0.571429
1    0.000224   0.594512",0.20883908718337107,0.9991007194244604,4.905103777794026
cosine,musicnn,<task1.retrieval_system.RetrievalSystem object at 0x000001AF6E68B640>,0.6235981771349299,0.0019370533234914964,"       recall  precision
k                       
100  0.017839   0.609003
95   0.017015   0.609471
90   0.016169   0.609916
85   0.015316   0.610149
80   0.014453   0.610672
75   0.013573   0.611086
70   0.012659   0.611510
65   0.011789   0.612135
60   0.010934   0.612998
55   0.010021   0.613511
50   0.009145   0.614335
45   0.008281   0.615373
40   0.007397   0.616198
35   0.006504   0.616828
30   0.005593   0.617869
25   0.004703   0.618688
20   0.003779   0.619685
15   0.002857   0.621498
10   0.001937   0.623598
5    0.000988   0.626313
1    0.000218   0.634436",0.23160113634700946,0.9973021582733813,4.705990449448982
cosine,resnet,<task1.retrieval_system.RetrievalSystem object at 0x000001AF6E68BA00>,0.5420744997027942,0.001549813372129917,"       recall  precision
k                       
100  0.012884   0.514862
95   0.012292   0.515454
90   0.011674   0.515940
85   0.011040   0.516522
80   0.010435   0.517150
75   0.009804   0.517819
70   0.009202   0.518728
65   0.008585   0.519652
60   0.007966   0.520397
55   0.007334   0.521410
50   0.006725   0.522792
45   0.006104   0.524008
40   0.005458   0.525267
35   0.004829   0.526839
30   0.004190   0.528628
25   0.003538   0.530180
20   0.002888   0.532420
15   0.002232   0.536127
10   0.001550   0.542074
5    0.000831   0.554844
1    0.000215   0.605904",0.20258681638523526,0.9676258992805755,4.967308124552164
cosine,ef_bert_musicnn,<task1.retrieval_system.RetrievalSystem object at 0x000001AF5B553040>,0.6539132157717414,0.002340391390927738,"       recall  precision
k                       
100  0.020296   0.629777
95   0.019356   0.630317
90   0.018415   0.631148
85   0.017465   0.631922
80   0.016487   0.632776
75   0.015490   0.633629
70   0.014549   0.634599
65   0.013582   0.635372
60   0.012607   0.636248
55   0.011634   0.637540
50   0.010637   0.638419
45   0.009634   0.639476
40   0.008631   0.640908
35   0.007622   0.642254
30   0.006610   0.644102
25   0.005558   0.645853
20   0.004492   0.647954
15   0.003446   0.650941
10   0.002340   0.653913
5    0.001188   0.657618
1    0.000251   0.668813",0.25510651950397367,0.9847122302158273,4.687250772194371
borda count,late_fusion,<__main__.LateFusion object at 0x000001AF6D1AF820>,0.6424311472161603,0.0021261210868673943,"       recall  precision
k                       
100  0.017987   0.585930
95   0.017171   0.586923
90   0.016349   0.587893
85   0.015523   0.588921
80   0.014699   0.590021
75   0.013866   0.591245
70   0.013031   0.592818
65   0.012181   0.594193
60   0.011328   0.595733
55   0.010470   0.597709
50   0.009600   0.599744
45   0.008697   0.602155
40   0.007798   0.604904
35   0.006881   0.608489
30   0.005982   0.612103
25   0.005054   0.617329
20   0.004113   0.623975
15   0.003156   0.632587
10   0.002126   0.642431
5    0.001099   0.654032
1    0.000228   0.661977",0.2476860153218296,0.9766187050359713,4.711464293533104
